Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Working Tra$h,['actor'],4.9/10,1990,1h 32m,TV Movie,,['Comedy'],https://www.imdb.com/title/tt0100954/
Stella - Ensam mor,['actor'],6.0/10,1990,1h 49m,Movie,11,"['Drama', 'Romance']",https://www.imdb.com/title/tt0100691/
Elvis Stories,"['actor', 'director', 'writer']",5.9/10,1989,30m,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt0097271/
Dirty Fighting,['actor'],5.8/10,1989,1h 48m,Movie,15,"['Action', 'Crime', 'Drama']",https://www.imdb.com/title/tt0097967/
That's Adequate,['actor'],4.7/10,1989,1h 22m,Movie,R,['Comedy'],https://www.imdb.com/title/tt0098464/
För dina röda läppars skull,['actor'],5.0/10,1988,1h 45m,Movie,11,"['Drama', 'Romance']",https://www.imdb.com/title/tt0095178/
Shoeshine,['actor'],6.7/10,1987,10m,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt0093960/
Solens rike,['actor'],7.7/10,1987,2h 33m,Movie,11,"['Drama', 'History', 'War']",https://www.imdb.com/title/tt0092965/
Miami Vice,['actor'],7.5/10,1984–1989,48m,TV Series,15,"['Action', 'Crime', 'Drama']",https://www.imdb.com/title/tt0086759/
American Playhouse,['actor'],7.4/10,1980–1994,,TV Series,,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt0176357/
Trassel i tropikerna,['actor'],5.7/10,1987,1h 33m,Movie,15,['Comedy'],https://www.imdb.com/title/tt0093215/
Kate & Allie,['actor'],6.9/10,1984–1989,30m,TV Series,TV-PG,['Comedy'],https://www.imdb.com/title/tt0086742/
Juliana Hatfield Three: Spin the Bottle,['director'],5.6/10,1994,3m,Music Video,,"['Short', 'Music']",https://www.imdb.com/title/tt8751720/
Saturday Night Special,"['writer', 'self']",4.4/10,1996,1h,TV Series,,"['Comedy', 'Music']",https://www.imdb.com/title/tt0149519/
Conan O'Brien,"['soundtrack', 'self', 'archive footage']",8.2/10,1993–2009,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0106052/
Beastie Boys Story,"['thanks', 'self']",7.7/10,2020,1h 59m,Movie,TV-MA,"['Documentary', 'Biography', 'Music']",https://www.imdb.com/title/tt11615290/
Mike Birbiglia: The New One,['thanks'],7.7/10,2019,1h 25m,TV Special,,['Comedy'],https://www.imdb.com/title/tt11163014/
The Game Changer,['thanks'],8.3/10,2019,1h 45m,Movie,,['Romance'],https://www.imdb.com/title/tt6838460/
Greed,['thanks'],5.8/10,2019,1h 44m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt8972256/
Please Tell Me I'm Adopted!,['thanks'],8.1/10,2017–,,TV Series,,"['Short', 'Comedy']",https://www.imdb.com/title/tt3959140/
Casting Couch,['thanks'],4.5/10,2013,1h 34m,Movie,Unrated,['Comedy'],https://www.imdb.com/title/tt2313189/
The Making of a Godfocker: Behind the Scenes of 'Little Fockers',"['thanks', 'self']",5.4/10,2011,15m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5310746/
Beastie Boys: Fight for Your Right Revisited,['thanks'],7.9/10,2011,30m,Movie,Not Rated,"['Short', 'Comedy', 'Music']",https://www.imdb.com/title/tt1791504/
Homo Erectus,['thanks'],3.5/10,2007,1h 28m,Movie,R,"['Action', 'Comedy', 'Drama']",https://www.imdb.com/title/tt0484207/
Escape from the Fire,['thanks'],5.0/10,2007,13m,Movie,,"['Short', 'Drama']",https://www.imdb.com/title/tt1084681/
Dedication,['thanks'],6.6/10,2007,1h 35m,Movie,R,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt0490579/
Cugini,['thanks'],6.4/10,2001,,Movie,Unrated,[],https://www.imdb.com/title/tt0167096/
Letters of the Underground: T.S. Eliot,['thanks'],,2001,,Movie,,"['Documentary', 'Short']",https://www.imdb.com/title/tt8815714/
CB4,['thanks'],6.2/10,1993,1h 29m,Movie,R,"['Comedy', 'Music']",https://www.imdb.com/title/tt0106500/
Albert Brooks: Defending My Life,['self'],,2023,,Movie,,"['Documentary', 'Biography']",https://www.imdb.com/title/tt20274588/
Everybody Has an Andy Dick Story,['self'],,,1h 13m,TV Movie,,"['Documentary', 'Comedy']",https://www.imdb.com/title/tt6258332/
Bros,['self'],,2022,1h 55m,Movie,R,"['Comedy', 'Romance']",https://www.imdb.com/title/tt9731598/
Armchair Expert with Dax Shepard,['self'],8.6/10,2018–,,Podcast Series,,['Talk-Show'],https://www.imdb.com/title/tt11857594/
The Late Show Pod Show with Stephen Colbert,['self'],,2021–,,Podcast Series,,['Talk-Show'],https://www.imdb.com/title/tt15741658/
The Late Show with Stephen Colbert,['self'],7.1/10,2015–,41m,TV Series,TV-PG,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt3697842/
Watch What Happens Live with Andy Cohen,['self'],5.4/10,2009–,22m,TV Series,TV-14,['Talk-Show'],https://www.imdb.com/title/tt2057880/
Life is Short with Justin Long,['self'],7.9/10,2019–,,Podcast Series,,['Comedy'],https://www.imdb.com/title/tt15445736/
SmartLess,['self'],9.3/10,2020–,,Podcast Series,,['Talk-Show'],https://www.imdb.com/title/tt12825566/
The Daily Show with Trevor Noah: Ears Edition,['self'],2.4/10,2018–,,Podcast Series,,['Comedy'],https://www.imdb.com/title/tt13916212/
Entertainment Tonight,"['self', 'archive footage']",3.5/10,1981–,30m,TV Series,,['News'],https://www.imdb.com/title/tt0081857/
The Daily Show,['self'],8.3/10,1996–,22m,TV Series,TV-14,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt0115147/
Late Night with Seth Meyers Podcast,['self'],,2016–,,Podcast Series,,[],https://www.imdb.com/title/tt18224076/
Late Night with Seth Meyers,['self'],6.2/10,2014–,1h,TV Series,TV-14,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt3513388/
Stars in the House,['self'],6.4/10,2020–,1h,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt12020508/
Good Morning America,['self'],4.4/10,1975–,2h,TV Series,TV-G,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0072506/
Leute heute,['self'],3.7/10,1997–,,TV Series,,"['Documentary', 'Family', 'News']",https://www.imdb.com/title/tt0315025/
Hollywood Insider,['self'],8.1/10,2018–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt8638066/
2021 Golden Globe Awards,['self'],4.5/10,2021,2h 8m,TV Special,TV-14,['Comedy'],https://www.imdb.com/title/tt11589622/
2020 International Emmy Founders Award Presentation,['self'],,2020,11m,Movie,,['Short'],https://www.imdb.com/title/tt14161246/
45 Minutes of Inspiration - Holocaust Museum LA 2020 Livestream Special,['self'],,2020,,TV Special,,['Talk-Show'],https://www.imdb.com/title/tt13237012/
Today,['self'],4.5/10,1952–,4h,TV Series,TV-G,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0044298/
Ministern,['self'],7.1/10,2020–,50m,TV Series,,['Drama'],https://www.imdb.com/title/tt10087640/
Jimmy Kimmel Live!,['self'],6.5/10,2003–,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0320037/
Sunday Today with Willie Geist,['self'],6.2/10,2016–,1h,TV Series,,"['News', 'Reality-TV']",https://www.imdb.com/title/tt8005764/
The Tonight Show Starring Jimmy Fallon,['self'],7.1/10,2014–,1h,TV Series,15,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt3444938/
Yale Photo Pop Up Lecture Series,['self'],,2020–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt12317042/
Gone Mental with Lior,['self'],6.4/10,2020–,,TV Series,,"['Short', 'Reality-TV']",https://www.imdb.com/title/tt11921366/
The 71st Primetime Emmy Awards,['self'],5.8/10,2019,2h 10m,TV Special,TV-14,['News'],https://www.imdb.com/title/tt10161398/
Close Up with the Hollywood Reporter,['self'],7.0/10,2015–,1h,TV Series,TV-14,['Talk-Show'],https://www.imdb.com/title/tt4931888/
Desus & Mero,['self'],7.6/10,2019–2022,,TV Series,TV-MA,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt9362790/
Ok! TV,"['self', 'archive footage']",2.3/10,2013–,30m,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt3503424/
The 24th Annual Critics' Choice Awards,['self'],6.5/10,2019,3h,TV Special,TV-14,['News'],https://www.imdb.com/title/tt8985412/
The 76th Annual Golden Globe Awards,['self'],5.4/10,2019,2h 25m,TV Special,TV-14,['Comedy'],https://www.imdb.com/title/tt9000560/
The 92nd Annual Macy's Thanksgiving Day Parade,['self'],7.2/10,2018,3h,TV Special,,"['Family', 'Music']",https://www.imdb.com/title/tt9407596/
Rachael Ray,['self'],4.3/10,2006–,1h,TV Series,TV-G,['Talk-Show'],https://www.imdb.com/title/tt0827947/
CBS This Morning,['self'],4.8/10,1992–,2h,TV Series,,['News'],https://www.imdb.com/title/tt2163227/
CBS News Sunday Morning,['self'],7.7/10,1979–,1h 30m,TV Series,TV-PG,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0165001/
The 70th Primetime Emmy Awards,['self'],4.7/10,2018,2h 6m,TV Special,TV-14,['News'],https://www.imdb.com/title/tt8691808/
Night of Too Many Stars,['self'],5.1/10,2017,2h 10m,TV Special,TV-MA,['News'],https://www.imdb.com/title/tt7657600/
Live with Regis and Kathie Lee,['self'],4.6/10,1988–,1h,TV Series,TV-PG,['Talk-Show'],https://www.imdb.com/title/tt0096636/
Dish Nation,['self'],3.7/10,2011–,30m,TV Series,TV-PG,['News'],https://www.imdb.com/title/tt1973047/
WGN Morning News,['self'],6.6/10,1994–,,TV Series,,['News'],https://www.imdb.com/title/tt5139360/
The Truth Is in the Stars,['self'],6.7/10,2017,1h 26m,Movie,,['Documentary'],https://www.imdb.com/title/tt7104950/
The Red Nose Day Special,['self'],6.8/10,2017,,TV Special,,"['Comedy', 'Music']",https://www.imdb.com/title/tt6986332/
StarTalk,['self'],7.7/10,2015–,47m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt4634294/
Drake Sather: The Man Who Created Zoolander,['self'],,2016,8m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5858582/
The Zoolander Legacy,['self'],6.4/10,2016,9m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5858366/
Zoolander 2 World Tour,['self'],3.7/10,2016,3m,Video,,['Short'],https://www.imdb.com/title/tt5916398/
Zoolander No. 2: Go Big or Go Rome,['self'],5.4/10,2016,8m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5858574/
The First Monday in May,['self'],7.1/10,2016,1h 30m,Movie,PG-13,['Documentary'],https://www.imdb.com/title/tt5519566/
Rencontres de cinéma,['self'],4.5/10,2007–,,TV Series,,[],https://www.imdb.com/title/tt5123584/
Hollywood Candy,['self'],,2016–2017,,TV Series,,['News'],https://www.imdb.com/title/tt9881768/
Weekend Today,['self'],4.7/10,1987–,2h,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0291679/
The Living Room,['self'],5.6/10,2012–2022,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt3514356/
Extra,"['self', 'archive footage']",3.2/10,1994–,30m,TV Series,TV-PG,['News'],https://www.imdb.com/title/tt0247094/
Film '72,['self'],7.0/10,1971–2018,30m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt0192897/
The Graham Norton Show,"['self', 'archive footage']",8.4/10,2007–,1h,TV Series,15,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0924651/
El hormiguero,['self'],5.3/10,2006–,2h,TV Series,,['Comedy'],https://www.imdb.com/title/tt0870872/
73 Questions,['self'],6.7/10,2014–,,TV Series,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5220922/
Vivement dimanche,['self'],4.2/10,1998–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt0461733/
Talk Stoop,['self'],3.8/10,2009–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt2268730/
Red Nose Day,['self'],6.7/10,2015,,TV Special,,"['Comedy', 'Music']",https://www.imdb.com/title/tt4688342/
Being Canadian,['self'],6.3/10,2015,1h 30m,Movie,Not Rated,"['Documentary', 'Comedy']",https://www.imdb.com/title/tt1723659/
David Letterman Show,['self'],6.9/10,1993–2015,1h,TV Series,TV-PG,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0106053/
"Improv, Absurdity and Cracking Up: The Comedy of 'Night at the Museum: Secret of the Tomb'",['self'],5.6/10,2015,8m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5953952/
Night at the Museum: Secret of the Tomb - A Day in the Afterlife,['self'],6.2/10,2015,16m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5954008/
Night at the Museum: Secret of the Tomb - Becoming Laaa,['self'],6.4/10,2015,7m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5953984/
Sweet Micky for President,['self'],7.7/10,2015,1h 29m,Movie,TV-14,"['Documentary', 'Music', 'News']",https://www.imdb.com/title/tt2265567/
Dale la vuelta a la tortilla,['self'],,2014,,Video,,"['Short', 'Comedy', 'Music']",https://www.imdb.com/title/tt8500730/
International Ghost Investigators,['self'],6.7/10,2013–2015,,TV Series,,['Comedy'],https://www.imdb.com/title/tt3686948/
Made in Hollywood,['self'],4.9/10,2005–,1h,TV Series,TV-PG,['Talk-Show'],https://www.imdb.com/title/tt0911896/
World Premiere,['self'],8.0/10,2003–,,TV Series,,['Horror'],https://www.imdb.com/title/tt0800381/
"Wetten, dass..?",['self'],6.0/10,1981–,2h 45m,TV Series,,"['Comedy', 'Game-Show', 'Music']",https://www.imdb.com/title/tt0081961/
Inside Edition,"['self', 'archive footage']",3.8/10,1988–,30m,TV Series,TV-PG,"['Documentary', 'News']",https://www.imdb.com/title/tt0166442/
Bear Grylls Wild Weekends,['self'],7.3/10,2011–,,TV Series,,['Adventure'],https://www.imdb.com/title/tt2202725/
Stand Up to Cancer,['self'],5.9/10,2014,1h,TV Special,,['Comedy'],https://www.imdb.com/title/tt3978892/
Running Wild with Bear Grylls,['self'],7.6/10,2014–,1h,TV Series,11,"['Adventure', 'Comedy', 'Reality-TV']",https://www.imdb.com/title/tt3816666/
Howard Stern Birthday Bash,['self'],6.6/10,2014,3h 58m,Video,,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt3843176/
The History of 'Walter Mitty',['self'],8.2/10,2014,4m,Video,,['Short'],https://www.imdb.com/title/tt5439972/
The Music of 'Walter Mitty',['self'],7.0/10,2014,4m,Video,,['Short'],https://www.imdb.com/title/tt5442292/
Titles of 'Walter Mitty',['self'],,2014,3m,Video,,['Short'],https://www.imdb.com/title/tt5442304/
Walter Mitty: Icelandic Adventure,['self'],,2014,3m,Video,,['Short'],https://www.imdb.com/title/tt5442298/
Walter Mitty: Nordic Casting,['self'],,2014,4m,Video,,['Short'],https://www.imdb.com/title/tt5442300/
Walter Mitty: Skateboarding Through Iceland,['self'],,2014,2m,Video,,['Short'],https://www.imdb.com/title/tt5442310/
Walter Mitty: That's a Shark!,['self'],,2014,6m,Video,,['Short'],https://www.imdb.com/title/tt5442294/
Walter Mitty: The Look of Life,['self'],,2014,5m,Video,,['Short'],https://www.imdb.com/title/tt5442270/
Harmontown,['self'],7.2/10,2014,1h 41m,Movie,Not Rated,['Documentary'],https://www.imdb.com/title/tt3518988/
Ellen: The Ellen DeGeneres Show,['self'],6.7/10,2003–2022,1h,TV Series,TV-G,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt0379623/
Nantucket Film Festival's 2nd Comedy Roundtable,['self'],6.5/10,2013,1h,TV Special,,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt3530350/
Charlie Rose,['self'],7.5/10,1991–2017,1h,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0270116/
Días de cine,['self'],6.8/10,1991–,1h,TV Series,,['News'],https://www.imdb.com/title/tt0390699/
Fox & Friends,['self'],3.2/10,1998–,3h,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0185065/
Chelsea Lately,"['self', 'archive footage']",5.9/10,2007–2014,22m,TV Series,TV-14,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt1002838/
Le grand journal de Canal+,['self'],5.9/10,2004–,1h,TV Series,,"['Documentary', 'Comedy', 'Talk-Show']",https://www.imdb.com/title/tt0426701/
The Hollywood Reporter Roundtables,['self'],5.3/10,2013–2014,56m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt3281320/
Weekend Ticket,['self'],5.2/10,2013–,,TV Series,,"['Short', 'News']",https://www.imdb.com/title/tt2787918/
Le débarquement,['self'],5.8/10,2013–,,TV Series,,['Comedy'],https://www.imdb.com/title/tt2807730/
Vecherniy Urgant,['self'],6.3/10,2012–,30m,TV Series,,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt4264964/
Cinema 3,['self'],6.3/10,1984–2016,,TV Series,,['News'],https://www.imdb.com/title/tt0111920/
The Colbert Report,['self'],8.4/10,2005–2014,30m,TV Series,TV-14,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt0458254/
Conan,['self'],8.2/10,2010–2021,42m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt1637574/
The 7PM Project,['self'],4.4/10,2009–,1h,TV Series,,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt1480165/
Here Comes the Night Time,['self'],6.3/10,2013,23m,TV Special,,['Music'],https://www.imdb.com/title/tt12496404/
"Jerry Stahl Rides Dirty with Ben Stiller, Jason Schwartzman, Michael C. Hall & Flea",['self'],5.6/10,2013,,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt3250090/
The Onion,['self'],8.5/10,2007–,,TV Series,,['Comedy'],https://www.imdb.com/title/tt1356653/
Inside Comedy,['self'],7.6/10,2012–,30m,TV Series,TV-MA,['Comedy'],https://www.imdb.com/title/tt2012383/
He's Way More Famous Than You,['self'],3.7/10,2013,1h 36m,Movie,Not Rated,['Comedy'],https://www.imdb.com/title/tt2076216/
CNN Heroes: Sharing the Spotlight 2012 Pre-Show,['self'],,2012,,TV Special,,[],https://www.imdb.com/title/tt2527646/
The American Cinematheque Tribute to Ben Stiller,['self'],,2012,,TV Special,,[],https://www.imdb.com/title/tt2518356/
The Watch: Alien Invasions and You,['self'],,2012,2m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt7320454/
Watchmakers: The Making of 'The Watch',['self'],,2012,12m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt7320442/
Vivir de cine,['self'],5.5/10,2012–2013,,TV Series,,['News'],https://www.imdb.com/title/tt3110888/
Night of Too Many Stars: America Comes Together for Autism Programs,['self'],6.3/10,2012,,TV Special,,['News'],https://www.imdb.com/title/tt2705582/
Up Close with Carrie Keagan,['self'],4.0/10,2007–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt1434322/
The Tonight Show with Jay Leno,"['self', 'archive footage']",5.3/10,1992–2014,1h 2m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0103569/
ES.TV HD,['self'],2.9/10,2009–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt1489335/
Late Night with Jimmy Fallon,['self'],6.8/10,2009–2014,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt1231460/
The Secret Policeman's Ball,['self'],5.7/10,2012,1h 35m,TV Special,TV-MA,['Comedy'],https://www.imdb.com/title/tt2317255/
The 84th Annual Academy Awards,['self'],7.1/10,2012,2h 37m,TV Special,TV-14,['Comedy'],https://www.imdb.com/title/tt2089826/
Brett Ratner's Tower Heist Video Diary,['self'],6.6/10,2012,23m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5480352/
Plotting 'Tower Heist',['self'],,2012,45m,Video,,['Documentary'],https://www.imdb.com/title/tt5480432/
Take Two with Phineas and Ferb,['self'],6.2/10,2010–2011,2m,TV Series,TV-G,"['Animation', 'Comedy', 'Family']",https://www.imdb.com/title/tt1887491/
Janela Indiscreta,['self'],6.4/10,2010–,30m,TV Series,,['News'],https://www.imdb.com/title/tt1612376/
The BAFTA Britannia Awards,['self'],,2011,,TV Special,,[],https://www.imdb.com/title/tt2570100/
Piers Morgan Tonight,['self'],2.7/10,2011–,1h,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt1809909/
